index,female,born_germany,parent_nongermany,sportsclub_4_7,music_4_7,urban,anz_osiblings,yob_1998.0,yob_1999.0,yob_2000.0,yob_2001.0,yob_2002.0,yob_2003.0,abi_p,real_p,haupt_p,kindergarten_stats_unknown,parent_nongerman_unknown,education_unknown,anz_osiblings_unknown,ps,treat,sportsclub,sport_hrs,oweight,kommheard,kommgotten,kommused
68,0,1,0.0,1.0,0.0,1.0,1.0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0.45266242622996233,1.0,1.0,10.5,1.0,1.0,1.0,1.0
69,1,1,0.0,1.0,1.0,1.0,5.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.8837179487179487,1.0,1.0,3.0,0.0,1.0,1.0,1.0
70,1,1,0.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.6874814209532224,0.0,0.0,1.5,0.0,0.0,0.0,0.0
71,0,1,0.0,1.0,1.0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.20546786446536414,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0,1,0.0,1.0,0.0,1.0,0.0,0,0,0,0,1,0,0.0,1.0,0.0,0,0,0,0,0.505573593073593,1.0,1.0,2.0,0.0,1.0,0.0,0.0
73,1,1,0.0,0.0,1.0,1.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,1,0,0.5459765333677452,1.0,0.0,6.0,0.0,0.0,0.0,0.0
74,1,0,0.0,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,0.9606818181818181,1.0,0.0,7.0,0.0,0.0,0.0,0.0
75,1,1,0.0,1.0,0.0,1.0,0.0,0,0,0,0,1,0,1.0,0.0,0.0,0,1,0,1,0.8514880952380952,1.0,1.0,6.0,0.0,0.0,0.0,0.0
76,0,1,0.0,1.0,0.0,1.0,1.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.628099475337721,0.0,0.0,4.0,0.0,0.0,0.0,0.0
77,0,1,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.3188879160792772,0.0,0.0,0.5,0.0,0.0,0.0,0.0
