female,born_germany,parent_nongermany,sportsclub_4_7,music_4_7,urban,anz_osiblings,yob_1998.0,yob_1999.0,yob_2000.0,yob_2001.0,yob_2002.0,yob_2003.0,abi_p,real_p,haupt_p,kindergarten_stats_unknown,parent_nongerman_unknown,education_unknown,anz_osiblings_unknown,ps,treat,sportsclub,sport_hrs,oweight,kommheard,kommgotten,kommused
1,1,1.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.9547222222222222,1.0,1.0,5.0,0.0,1.0,0.0,0.0
0,1,0.0,0.0,1.0,1.0,1.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.5940607799079212,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,1,1.0,0.0,0.0,0.0,3.0,0,0,0,1,0,0,0.0,0.0,0.0,1,0,1,0,0.8276190476190476,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,1.0,1.0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.20017022948430374,1.0,1.0,4.5,0.0,1.0,1.0,1.0
0,1,0.0,1.0,0.0,1.0,1.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.6428503393924611,1.0,1.0,4.0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,1.0,1.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.672606193463894,1.0,0.0,2.0,0.0,1.0,1.0,1.0
0,1,0.0,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.5963061070852455,1.0,0.0,3.0,0.0,0.0,0.0,0.0
0,1,0.0,0.0,0.0,1.0,1.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.6718589859353026,1.0,1.0,5.0,0.0,1.0,1.0,0.0
0,1,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,1,0,1,1,0.7627261904761903,1.0,0.0,3.0,1.0,0.0,0.0,0.0
1,1,1.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,1,0,1,0,0.9519166666666666,1.0,0.0,1.0,1.0,0.0,0.0,0.0
1,1,1.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.7075793928293929,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,1,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,0.7824603174603175,1.0,0.0,8.0,0.0,1.0,1.0,0.0
0,1,0.0,1.0,0.0,1.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.5987017832348457,1.0,0.0,2.0,0.0,1.0,0.0,0.0
1,1,0.0,1.0,1.0,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,1,0,0.2757467345309327,1.0,1.0,2.5,0.0,0.0,0.0,0.0
1,1,1.0,0.0,0.0,1.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.8178031709669638,1.0,0.0,7.0,0.0,0.0,0.0,0.0
0,1,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.3223244474828366,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,1,0.0,1.0,1.0,1.0,3.0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,1,0,0.645142407429172,1.0,0.0,3.0,0.0,1.0,0.0,0.0
0,1,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0.6858758278019459,1.0,0.0,1.5,0.0,1.0,1.0,1.0
0,1,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.4025753258468028,1.0,1.0,12.0,0.0,1.0,1.0,1.0
1,1,0.0,1.0,1.0,1.0,1.0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,1,0,0.6161211468108898,1.0,0.0,2.0,0.0,0.0,0.0,0.0
1,1,0.0,1.0,0.0,1.0,1.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.6674594585572163,1.0,1.0,3.0,0.0,1.0,0.0,0.0
1,1,0.0,1.0,1.0,1.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,1,0,0.610145460607761,1.0,1.0,7.0,0.0,1.0,0.0,0.0
1,1,0.0,1.0,0.0,1.0,2.0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0.6743704212454211,1.0,1.0,3.0,0.0,0.0,0.0,0.0
1,1,0.0,1.0,0.0,0.0,4.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.4821666666666667,1.0,1.0,16.0,1.0,0.0,0.0,0.0
0,1,0.0,0.0,1.0,1.0,2.0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,1,0,0.7636678599178596,1.0,0.0,1.5,0.0,0.0,0.0,0.0
1,1,1.0,0.0,0.0,1.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.8178031709669638,1.0,1.0,10.5,0.0,0.0,0.0,0.0
0,1,0.0,1.0,1.0,1.0,0.0,0,0,0,0,1,0,0.0,1.0,0.0,0,0,0,0,0.9701388888888889,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,0.0,0.0,1.0,1.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.6775055567450892,1.0,0.0,2.0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,1.0,0.0,2.0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0.6221854387442624,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0.6858758278019459,1.0,1.0,7.5,0.0,1.0,1.0,1.0
1,1,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0,1.0,0.0,0.0,0,0,0,0,0.9263333333333332,1.0,0.0,2.5,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0.7656117051017535,1.0,0.0,2.0,0.0,0.0,0.0,0.0
1,1,0.0,1.0,1.0,1.0,1.0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0.7278285218157124,1.0,1.0,2.0,0.0,0.0,0.0,0.0
0,1,0.0,0.0,0.0,1.0,1.0,0,0,0,1,0,0,0.0,0.0,0.0,1,0,1,0,0.7221097419311795,1.0,1.0,3.0,0.0,0.0,0.0,0.0
0,1,0.0,0.0,0.0,1.0,1.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.6718589859353026,1.0,0.0,0.5,1.0,0.0,0.0,0.0
0,1,0.0,1.0,1.0,1.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.6002569584772545,1.0,0.0,5.0,0.0,1.0,1.0,0.0
1,1,0.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,0.829740646823077,1.0,0.0,2.0,1.0,0.0,0.0,0.0
0,1,0.0,1.0,1.0,1.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0.8848978799252536,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,1.0,0.0,1.0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0.47493963013537327,1.0,0.0,1.0,0.0,1.0,1.0,0.0
0,1,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.4025753258468028,1.0,1.0,7.0,0.0,1.0,0.0,0.0
0,0,1.0,1.0,0.0,0.0,1.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.8268333333333334,1.0,0.0,8.0,0.0,0.0,0.0,0.0
0,1,0.0,1.0,0.0,1.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,1,0,0.6141935353468311,1.0,1.0,13.0,0.0,0.0,0.0,0.0
0,1,0.0,0.0,0.0,1.0,1.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.6775055567450892,1.0,1.0,5.0,0.0,0.0,0.0,0.0
0,1,0.0,0.0,1.0,0.0,1.0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0.5263218448218445,1.0,0.0,2.0,0.0,0.0,0.0,0.0
0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.1638470418470418,1.0,0.0,2.5,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0.4733161838193352,1.0,1.0,3.0,0.0,0.0,0.0,0.0
0,1,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0.5724084542991213,1.0,1.0,5.5,0.0,0.0,0.0,0.0
1,1,0.0,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.7161814022417349,1.0,0.0,1.5,1.0,1.0,1.0,0.0
1,1,0.0,1.0,0.0,1.0,1.0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,1,0,0.4833171334998111,1.0,1.0,10.0,0.0,1.0,0.0,0.0
0,1,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0,0.0,0.0,0.0,1,0,1,0,0.6337556488059581,1.0,1.0,16.5,0.0,0.0,0.0,0.0
1,1,0.0,0.0,1.0,0.0,3.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.7363928571428566,1.0,0.0,2.0,1.0,0.0,0.0,0.0
1,1,0.0,1.0,1.0,1.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.586940402827959,1.0,0.0,2.5,1.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,0.0,3.0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0.5339047619047619,1.0,0.0,0.5,1.0,0.0,0.0,0.0
1,1,0.0,1.0,0.0,1.0,1.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.6674594585572163,1.0,1.0,8.0,0.0,1.0,0.0,0.0
