female,born_germany,parent_nongermany,sportsclub_4_7,music_4_7,urban,anz_osiblings,yob_1998.0,yob_1999.0,yob_2000.0,yob_2001.0,yob_2002.0,yob_2003.0,abi_p,real_p,haupt_p,kindergarten_stats_unknown,parent_nongerman_unknown,education_unknown,anz_osiblings_unknown,ps,treat,sportsclub,sport_hrs,oweight,kommheard,kommgotten,kommused
0,1,0.0,0.0,1.0,1.0,0.0,0,0,1,0,0,0,1.0,0.0,0.0,0,0,0,0,0.8888888888888888,1.0,0.0,2.5,1.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.6896551724137931,1.0,0.0,20.0,0.0,0.0,0.0,0.0
0,1,0.0,0.0,0.0,1.0,1.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.6744186046511628,1.0,0.0,1.5,0.0,0.0,0.0,0.0
0,1,0.0,1.0,0.0,1.0,2.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.7272727272727273,1.0,0.0,12.0,1.0,1.0,0.0,0.0
1,1,1.0,0.0,0.0,1.0,1.0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0.75,1.0,0.0,4.0,0.0,1.0,0.0,0.0
1,1,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.28125,1.0,1.0,3.0,0.0,0.0,0.0,0.0
0,0,1.0,1.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.6666666666666666,1.0,1.0,9.0,0.0,0.0,0.0,0.0
0,1,0.0,0.0,0.0,1.0,1.0,0,0,0,1,0,0,0.0,0.0,0.0,1,0,1,0,0.7368421052631579,1.0,0.0,6.0,0.0,1.0,0.0,0.0
1,1,0.0,0.0,1.0,1.0,0.0,0,0,0,1,0,0,0.0,1.0,0.0,0,0,0,0,0.9,1.0,0.0,1.5,0.0,0.0,0.0,0.0
0,1,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.2857142857142857,1.0,0.0,1.0,1.0,0.0,0.0,0.0
0,1,0.0,1.0,0.0,1.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.5846153846153846,1.0,1.0,4.0,0.0,1.0,1.0,0.0
1,1,0.0,1.0,1.0,1.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.6060606060606061,1.0,0.0,2.0,1.0,0.0,0.0,0.0
1,1,0.0,1.0,1.0,1.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,1,0,0.6122448979591837,1.0,0.0,1.5,0.0,1.0,1.0,1.0
1,1,0.0,1.0,1.0,1.0,1.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.71875,1.0,1.0,5.5,0.0,1.0,1.0,1.0
1,1,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.4,1.0,0.0,4.0,0.0,0.0,0.0,0.0
1,1,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.28125,1.0,0.0,2.5,0.0,0.0,0.0,0.0
1,1,0.0,1.0,1.0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.3050847457627119,1.0,0.0,4.0,0.0,1.0,0.0,0.0
0,1,0.0,1.0,1.0,1.0,0.0,0,0,1,0,0,0,0.0,1.0,0.0,0,0,0,0,0.8,1.0,1.0,5.0,0.0,1.0,0.0,0.0
1,1,1.0,0.0,1.0,1.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,1,0.5,1.0,1.0,1.5,0.0,1.0,0.0,0.0
0,1,0.0,1.0,0.0,1.0,2.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.7692307692307693,1.0,1.0,8.0,0.0,1.0,0.0,0.0
0,1,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0,0.0,0.0,0.0,1,0,1,0,0.6428571428571429,1.0,0.0,3.0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,1.0,1.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.7833333333333333,1.0,0.0,2.5,0.0,1.0,0.0,0.0
1,1,0.0,1.0,1.0,1.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0.717948717948718,1.0,0.0,5.5,0.0,1.0,0.0,0.0
1,1,0.0,0.0,0.0,0.0,2.0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0.625,1.0,0.0,5.0,0.0,0.0,0.0,0.0
1,1,0.0,1.0,1.0,0.0,1.0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,1,0,0.3055555555555556,1.0,0.0,4.0,0.0,0.0,0.0,0.0
1,1,0.0,1.0,0.0,1.0,1.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.6119402985074627,1.0,1.0,6.0,1.0,0.0,0.0,0.0
1,0,1.0,0.0,1.0,0.0,1.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.5,1.0,0.0,4.0,0.0,1.0,0.0,0.0
1,1,1.0,1.0,1.0,1.0,1.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.5454545454545454,1.0,1.0,2.5,0.0,1.0,0.0,0.0
